"","rid","pid","GNIS_NA","HUC6","STATE","OBSPRED","TAILWAT","ELEV","CANOPY","SLOPE","PRECIP","CUMDRAI","Y_COORD","NLCD11P","BFI","temp","S30_204","S32_208","RepeatID","Yrange","size","F_BFI_H","barrier","length","numSpE","rchChng","NativNt","pNat","pComm","prsGlcE","prsGlcL","pisc","nClnzSp","FHMN","LNDC","CRCH","PKF","SDSH","LNSU","WSU","EB","CMSH","STR","JDT","BRSB","SMB","GSUN","CARP","YP","LL","PTMN","RB","LMB","MWF","NRBDC","LKCH","BRMN","IOWA","BLBH","NP","WSMN","PLMN","SCAT","SHRH","NPDC","WHCR","RKB","GSH","FHCH","SGR","WE","RCSU","PUMP","CCAT","RMCOT","PLSU","WS_PLMN","GE","ONC","SPSH","SPDC","MTSU","RMCT","RSSH","COLCOT","EMSH","HYBOG","BMSH","BHSU","FMSU","FMxWSU","DRUM","SMBUF","BMBUF","ODT","BLCR","FSDC","HHCH","GDF","BG","RDSH","GAM","GZS","TGT","YLBH","STCH","GILA","LING","QBK","SPK","LSCH","WCT","RTCH","SSTRG","LWF","WBS","SFCH","PSTRG","BSU","CIS","PF","GR","SMMN","BHxWSU","KOK","LT","snapdst","PU","rGlac","rPeri","rPela","rMont","ratio","snapdist","upDist","afvArea","locID","netID","netgeom","MOTCOT","pelagics_all","Turnover","geometry"
"92",2402,92,"Fontenelle Creek","140401","Wyoming",245128,0,2040.78,14.98,0.00449438,218.9,461.54,1332268,0.01053,72,15.28,16.29,17.06,364,22,13.33378221,0.237122,1,12.774,11,-8,-3,0.4,0.272727272727273,0.4,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045781192222944,"GREEN",0.666666666666667,0.001,NA,0.999,6.42720316423873e-06,0,346718.565896132,0.0197115851946616,92,9,"SNETWORK (9 2402 346718.565896132 6.42720316423873e-06 92 92)",1,NA,0.727272727272727,c(-1169800.79581443, 2207857.86360492)
"93",2415,93,"Little Cottonwood Creek","140401","Wyoming",255803,0,2338.54,8.74,0.00728483,431.93,49.85,1407624,0,67,13.3,14.27,15,371,26,1.83962127,0.26734531,0,7.722,3,-2,-2,0.001,0.001,0.001,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0387552028837,"GREEN",0.333333333333333,NA,NA,0.999,0.644513145582235,0,493911.135055027,0.0130849928346548,93,9,"SNETWORK (9 2415 493911.135055027 0.644513145582235 93 93)",1,NA,0.999,c(-1164135.28358816, 2283765.3545008)
"94",2424,94,"South Beaver Creek","1.404","Wyoming",257997,0,2389.46,21,0.01123003,431.5,46.61,1437002,0,64,12.93,13.89,14.61,6,10,5.59127907,0.18203891,1,15.745,4,1,0,0.999,0.999,0.999,NA,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022787878713754,"GREEN",0.999,NA,NA,0.999,0.0624338933438056,0,519660.006423282,0.00507787827145947,94,9,"SNETWORK (9 2424 519660.006423282 0.0624338933438056 94 94)",1,NA,0.2,c(-1159002.22360228, 2313246.45663557)
"95",2426,95,"South Beaver Creek","1.404","Wyoming",258085,0,2514.54,20.29,0.01758935,545.17,17.55,1433844,0,66,11.89,12.82,13.52,7,15,1.93395648,0.21925992,1,15.745,3,0,0,0.666666666666667,0.666666666666667,0.666666666666667,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024159560768821,"GREEN",0.666666666666667,NA,NA,0.999,0.795565504167452,0,529004.149596853,0.00507787827145947,95,9,"SNETWORK (9 2426 529004.149596853 0.795565504167452 95 95)",1,NA,0.5,c(-1165272.96187753, 2311288.25441367)
"96",2432,96,"North Muddy Creek","140401","Wyoming",246862,0,2105.65,0,0.00902439,260.01,35.18,1344626,0,73,14.98,15.99,16.75,380,20,0.55938827,0.58956451,0,15.107,3,-3,-2,0.001,0.001,0.001,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024013414958839,"GREEN",0.001,NA,NA,NA,0.125101972868212,0,354654.6494951,0.00422348149223178,96,9,"SNETWORK (9 2432 354654.6494951 0.125101972868212 96 96)",0,NA,0.999,c(-1171220.39498031, 2221157.1431784)
"97",2440,97,"South Piney Creek","1.404","Wyoming",252514,0,2357.02,20.11,0.00977352,611.52,128.5,1379100.62,0,75,12.3,13.24,13.95,325,28,34.80800663,0.16303118,1,54.015,4,-1,-1,0.001,0.25,0.001,NA,0,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045781101756468,"GREEN",0.5,0.001,NA,0.999,0.836191282431309,0,439585.574779261,0.0150020364448109,97,9,"SNETWORK (9 2440 439585.574779261 0.836191282431309 97 97)",1,NA,0.833333333333333,c(-1177132.49999293, 2257498.06143251)
"98",2445,98,"South Piney Creek","1.404","Wyoming",252595,0,2423.51,3.42,0.01540161,674.99,36.93,1378004,0,75,12.11,13.05,13.75,284,15,15.04101673,0.16928552,1,54.015,4,-1,-1,0.5,0.5,0.5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018325914579923,"GREEN",0.999,0.001,NA,0.999,0.0249000282812504,0,445654.021798961,0.0150020364448109,98,9,"SNETWORK (9 2445 445654.021798961 0.0249000282812504 98 98)",1,NA,0.6,c(-1181548.16347971, 2257223.353785)
"99",2449,99,"Chall Creek","1.404","Wyoming",258232,0,2425.72,0.84,0.00955401,449.93,20.52,1436220,0,65,13.74,14.71,15.45,73,15,1.67344208,0.44820158,0,12.056,4,0,-1,0.5,0.5,0.5,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03405124233796,"GREEN",0.333333333333333,NA,NA,0.999,0.664143947948945,0,524112.351128366,0.0036407262623642,99,9,"SNETWORK (9 2449 524112.351128366 0.664143947948945 99 99)",1,NA,0.666666666666667,c(-1162808.52107964, 2313228.92926608)
"100",2452,100,"Tosi Creek","1.404","Wyoming",259231,0,2380.98,4.41,0.00757004,560.11,145.55,1469675,0.025971,63,12.68,13.63,14.35,11,12,48.12297756,0.23179131,0,26.911,4,-1,0,0.999,0.75,0.999,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042501517876016,"GREEN",0.999,NA,NA,0.999,0.287721662958384,0,557221.019324366,0.0272061770444152,100,9,"SNETWORK (9 2452 557221.019324366 0.287721662958384 100 100)",1,NA,0.25,c(-1128022.85106716, 2340616.87149022)
"101",2716,101,"New Fork River","1.404","Wyoming",256661,0,2186.14,21.03,0.00014705,281.13,522.91,1420918,2.887922,63,16.06,17.09,17.87,210,75,62.07954078,0.2639917,0,86.265,4,4,2,0.5,0.25,0.5,NA,1,7,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044196146948025,"GREEN",0.666666666666667,0.999,NA,0.999,0.854358745058131,2.3283064365387e-10,487383.989244849,0.0183457952618158,101,9,"SNETWORK (9 2716 487383.989244849 0.854358745058131 101 101)",1,NA,0.909090909090909,c(-1124735.36268292, 2289857.71690177)
"102",2721,102,"Spring Creek","1.404","Wyoming",255072,0,2189.26,0.95,0.00967161,294.37,43.56,1412626,0.489639,58,15.25,16.27,17.03,1,13,1.2222519,0.27321338,0,6.777,5,0,0,0.999,0.999,0.999,NA,0,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006175336173454,"GREEN",0.999,NA,NA,0.999,0.815740300750371,0,474267.98183873,0.0312426719820581,102,9,"SNETWORK (9 2721 474267.98183873 0.815740300750371 102 102)",1,NA,0.001,c(-1101161.78289994, 2276617.56740749)
"103",2740,103,"Willow Creek","1.404","Wyoming",257346,0,2221.45,28.78,0.0033062,318.84,283.51,1429156,3.354782,61,15.78,16.81,17.58,24,41,19.5435924,0.29138914,0,38.073,3,2,0,0.5,0.333333333333333,0.5,NA,1,4,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040128233914594,"GREEN",0.666666666666667,NA,NA,0.999,0.764223156599896,0,499121.060235494,0.0183457952618158,103,9,"SNETWORK (9 2740 499121.060235494 0.764223156599896 103 103)",1,NA,0.857142857142857,c(-1126126.77888358, 2298774.39302813)
"104",2764,104,"Pine Creek","1.404","Wyoming",256795,0,2182.46,27.1,0.00619114,286.71,272.35,1420809,10.34053,62,19.98,21.11,21.97,254,18,104.5007975,0.23036795,1,3.548,6,-1,1,0.001,0.5,0.001,NA,1,2,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038237835349762,"GREEN",0.001,0.999,NA,NA,0.0878804111073866,0,484859.628104288,0.0132494155063691,104,9,"SNETWORK (9 2764 484859.628104288 0.0878804111073866 104 104)",0,NA,0.625,c(-1122483.68447292, 2289364.76352608)
"105",2767,105,"Duck Creek","1.404","Wyoming",256716,0,2200.03,20.13,0.00101371,297.5,268.27,1422048,2.120886,62,15.47,16.49,17.26,105,25,0.72593393,0.66475594,0,18.507,5,-1,-1,0.666666666666667,0.6,0.666666666666667,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019531754184822,"GREEN",0.666666666666667,NA,NA,0.999,0.372115483117455,0,493781.072287526,0.00996254454129743,105,9,"SNETWORK (9 2767 493781.072287526 0.372115483117455 105 105)",1,NA,0.5,c(-1128618.63530516, 2291856.9003908)
"106",2775,106,"Green River","1.404","Wyoming",233182,0,1856.82,1.3,0.00093564,204.96,18460.44,1277669,0.847184,57,19.52,20.64,21.49,118,42,1296.982195,0.27117755,1,107.16,5,4,0,0.333333333333333,0.2,0.001,0.5,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0.012380827549059,"GREEN",0.001,0.666666666666667,NA,NA,0.379024360499384,0,214869.633590191,0.492556138410705,106,9,"SNETWORK (9 2775 214869.633590191 0.379024360499384 106 106)",0,NA,0.923076923076923,c(-1116203.80004068, 2141260.96878999)
"107",2783,107,"Green River","1.404","Wyoming",236020,0,1879.38,0.57,0.00050955,205.16,17642.96,1290455,0.877363,57,19.42,20.54,21.38,122,10,1286.735938,0.26693864,1,107.16,5,1,-1,0.001,0.4,0.001,0.001,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037241032127411,"GREEN",0.999,0.001,NA,0.999,0.425114707546473,0,238325.147874029,0.492556138410705,107,9,"SNETWORK (9 2783 238325.147874029 0.425114707546473 107 107)",1,NA,0.777777777777778,c(-1125369.81884527, 2156144.706317)
"108",2830,108,"North Fork Slate Creek","1.404","Wyoming",242368,0,2091.57,8.81,0.00454216,274.83,74.45,1316864,0,67,15.52,16.54,17.31,239,11,1.60738818,0.72213413,0,24.476,4,-1,0,0.999,0.75,0.999,0.999,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023746571087971,"GREEN",0.999,NA,NA,0.999,0.0872159371609441,0,347098.608412384,0.0169012158223573,108,9,"SNETWORK (9 2830 347098.608412384 0.0872159371609441 108 108)",1,NA,0.25,c(-1180128.49271267, 2194130.28862374)
"109",2848,109,"Green River","1.404","Wyoming",242073,0,1938.38,3.3,0.0010355,195.69,11387.3,1321357,1.169384,63,18.71,19.81,20.64,139,12,1185.26039,0.24186268,1,107.16,5,2,0,0.001,0.2,NA,0.001,1,6,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.02346570674059,"GREEN",NA,0.333333333333333,NA,NA,0.439904212458641,0,305650.929165,0.37587397592786,109,9,"SNETWORK (9 2848 305650.929165 0.439904212458641 109 109)",0,NA,0.909090909090909,c(-1149326.75478679, 2192437.56672712)
"110",2934,110,"Green River","1.404","Wyoming",236499,0,1881.13,2.61,0.00042283,204.69,17602.07,1292075,0.878118,57,19.36,20.47,21.32,121,12,1286.26819,0.26674053,1,107.16,4,5,2,0.001,0.75,NA,0.001,1,6,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021548662666997,"GREEN",0.999,0.5,NA,0.999,0.798008480826862,0,240794.284715722,0.492556138410705,110,9,"SNETWORK (9 2934 240794.284715722 0.798008480826862 110 110)",1,NA,0.7,c(-1126647.49345284, 2158085.71419545)
"111",2949,111,"Green River","1.404","Wyoming",240067,0,1906.4,1.11,0.00056324,200.68,12721.6,1310459,1.06696,58,19.14,20.25,21.09,120,12,1199.837711,0.24791208,1,107.16,5,6,2,0.999,0.999,0.999,NA,1,6,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017353703249235,"GREEN",0.999,0.999,NA,0.999,0.908494235696579,0,271725.879079006,0.37587397592786,111,9,"SNETWORK (9 2949 271725.879079006 0.908494235696579 111 111)",1,NA,0.545454545454545,c(-1132925.69385278, 2178369.65686303)
"112",2950,112,"Green River","1.404","Wyoming",242512,0,1942.94,1.6,0.00078624,196.49,11367.79,1322149,1.169721,63,18.73,19.83,20.66,116,35,1184.973843,0.2417436,1,107.16,7,1,-2,0.25,0.571428571428571,0.5,0.001,1,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030633400622176,"GREEN",0.5,0.333333333333333,NA,0.999,0.104252500002319,2.3283064365387e-10,309310.31924626,0.37587397592786,112,9,"SNETWORK (9 2950 309310.31924626 0.104252500002319 112 112)",1,NA,0.636363636363636,c(-1151654.9670505, 2193922.40491964)
"113",2950,113,"Green River","1.404","Wyoming",242510,0,1944.68,2.78,0.00078624,196.49,11367.79,1323133,1.169721,64,18.63,19.72,20.56,117,35,1184.973843,0.2417436,1,107.16,9,-1,-3,0.2,0.333333333333333,0.333333333333333,0.001,1,5,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040404643398103,"GREEN",0.333333333333333,0.333333333333333,NA,0.999,0.985560324173296,0,311462.430448415,0.37587397592786,113,9,"SNETWORK (9 2950 311462.430448415 0.985560324173296 113 113)",1,NA,0.785714285714286,c(-1152132.39158584, 2195398.76460025)
"114",2988,114,"Big Sandy River","1.404","Wyoming",241698,0,1963.65,1.25,0.00170981,207,3617.46,1326651,0.395457,58,17.81,18.89,19.71,70,18,72.06130638,0.44379757,0,95.4,12,-4,-3,0.333333333333333,0.333333333333333,0.25,0.5,1,4,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051524248217661,"GREEN",0.333333333333333,0.666666666666667,NA,0.001,0.291055146049175,0,310751.879307887,0.116682162482845,114,9,"SNETWORK (9 2988 310751.879307887 0.291055146049175 114 114)",0,NA,0.75,c(-1115202.507059, 2191235.83123359)
"115",3023,115,"Jack Morrow Creek","140401","Wyoming",242597,0,2151.83,0.71,0.00420792,244.65,290.97,1340934,0,57,16.19,17.23,18.01,366,22,4.42888928,0.724281,0,50.746,4,1,-1,0.001,0.75,0.001,NA,0,2,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012174164010975,"GREEN",0.001,NA,NA,NA,0.419848579066046,0,407263.629600358,0.0342122612168667,115,9,"SNETWORK (9 3023 407263.629600358 0.419848579066046 115 115)",0,NA,0.5,c(-1065069.15501088, 2195642.44414193)
"116",3048,116,"Pacific Creek","140401","Wyoming",246586,0,2170.33,0,0.00523508,301.81,53.44,1365669,0,59,15.59,16.61,17.39,382,22,0.8613036,0.67245413,0,74.518,4,-2,-1,0.5,0.5,0.5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009504933983481,"GREEN",0.5,NA,NA,NA,0.78704705759575,0,413465.102777374,0.0328244095510489,116,9,"SNETWORK (9 3048 413465.102777374 0.78704705759575 116 116)",0,NA,0.5,c(-1057703.89874363, 2219963.54403877)
