"","GNIS_NAME.x","Month.x","Gear.x","Database.x","Party.x","RepeatID","F_MAUG_HIS.x","GNIS_NAME.y","Month.y","Gear.y","Database.y","Party.y","F_MAUG_HIS.y"
"98","Fourchette Creek",7,"Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",360,6.05994959,"Fourchette Creek",7,"0","0","0",6.05994959
"99","Dry Creek",9,"| | |","Global Biodiversity Information Facility CAS Ichthyology (ICH) | Global Biodiversity Information Facility CAS Ichthyology (ICH) | Global Biodiversity Information Facility CAS Ichthyology (ICH) | Global Biodiversity Information Facility CAS Ichthyology (I","Myers, G. S.; Gosline, W. A. | Myers, G. S.; Gosline, W. A. | Myers, G. S.; Gosline, W. A. | Myers, G. S.; Gosline, W. A.",359,17.94692216,"Dry Creek",8,"0","0","0",17.94692216
"100","East Fork Armells Creek",7,"Seine | Seine","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Montana Fish, Wildlife & Parks","0 | Bramblett, Robert",358,3.08335055,"East Fork Armells Creek",6,"0","0","0",3.08335055
"101","East Fork Battle Creek",9,"0","MT Natural Heritage Program","Bramblett, Robert G.",357,10.35330336,"East Fork Battle Creek",7,"0","0","0",10.35330336
"102","Eagle Creek",7,"Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert",356,0.37967871,"Eagle Creek",7,"0","0","0",0.37967871
"103","Clear Creek",8,"|","Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos)","Collector(s): unknown | Collector(s): unknown",355,1.2444184,"Clear Creek",6,"0","0","0",1.2444184
"104","Crow Creek",7,"Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",354,4.06228234,"Crow Creek",8,"0","0","0",4.06228234
"105","Cottonwood Creek",8,"Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert",353,6.28311447,"Cottonwood Creek",7,"0","0","0",6.09776917
"106","Cottonwood Creek",9,"Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | 0","Wyoming Game & Fish Dept","MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | MS SY | 0",352,37.12014651,"Cottonwood Creek",7,"0","0","0",37.12014651
"107","Bridger Creek",7,"Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit","Wyoming Game & Fish Dept","NA | NA | NA | NA | NA",351,3.84950884,"Bridger Creek",7,"0","0","0",3.84950884
"108","Boxelder Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Montana Fish, Wildlife & Parks","0 | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",350,54.70164012,"Box Elder Creek",7,"0","0","0",54.70164012
"109","Cabin Creek",9,"| |","Global Biodiversity Information Facility NMNH Extant Specimen Records | Global Biodiversity Information Facility NMNH Extant Specimen Records | Global Biodiversity Information Facility NMNH Extant Specimen Records","| |",349,9.72964822,"Cabin Creek",7,"0","0","0",9.72964822
"110","Butte Creek",9,"Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",348,6.48788197,"Butte Creek",8,"0","0","0",6.48788197
"111","Big Sandy Creek",9,"Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",347,62.21038977,"Big Sandy Creek",7,"0","0","0",62.21038977
"112","Big Dry Creek",9,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",346,8.29579963,"Big Dry Creek",6,"0","0","0",8.29579963
"113","Bennie Peer Creek",9,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",345,12.4508658,"Bennie Peer Creek",8,"0","0","0",11.37805594
"114","Black Thunder Creek",6,"Seine | Seine | Seine | Seine | Seine | Seine | Bag Seine | Bag Seine | Bag Seine | Bag Seine | Bag Seine","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facili","Collector(s): Christina E. Barrineau, Rosa McIver | Collector(s): Christina E. Barrineau, Rosa McIver | Collector(s): Christina E. Barrineau, Rosa McIver | Collector(s): Christina E. Barrineau, Rosa McIver | Collector(s): Christina E. Barrineau, Rosa McI",344,24.55640329,"Black Thunder Creek",7,"0","0","0",24.55640329
"115","Bitter Creek",9,"0 | 0 | 0","Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | 0 | Gelwicks",343,4.77214399,"Bitter Creek",6,"0","0","0",4.77214399
"116","Badwater Creek",7,"Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit","Wyoming Game & Fish Dept","NA | NA | NA | NA",342,14.90453124,"Badwater Creek",7,"0","0","0",14.90453124
"117","Armells Creek",7,"Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",341,10.60173913,"Armells Creek",6,"0","0","0",10.60173913
"118","Alkali Creek",9,"Bag seine 15' with 3/16"" mesh | 0","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Wyoming Game & Fish Dept","Collector(s): Aaron I. Kern, S. L. Beck, M. P. Larocco | 0",340,6.17504999,"Alkali Creek",7,"0","0","0",6.17504999
"119","Beaver Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species data","| | | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",339,54.34921602,"Beaver Creek - Malta",9,"0","0","0",54.34921602
"120","Beaver Creek",7,"Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert",338,3.00992444,"Beaver Creek",6,"0","0","0",2.1453421
"121","Beaver Creek",0,"E/S","Kirk 2020","Patton 1998",337,13.12719916,"Beaver Creek",7,"0","0","0",13.09879946
"122","Battle Creek",8,"| |","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species data","| |",336,88.72535151,"Battle Creek",7,"0","0","0",88.72535151
"123","West Blacktail Creek",8,"Seine | Seine | Seine | Seine","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Montana Fish, Wildlife & Parks","0 | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",335,2.54616286,"West Blacktail Creek",8,"0","0","0",1.24394016
"124","Vermillion Creek",7,"|","Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos)","Collector(s): unknown | Collector(s): unknown",334,2.22637556,"Vermillion Creek",6,"0","0","0",2.22637556
"125","Willow Creek",9,"0","WGFD(Gelwicks)","Gelwicks",333,1.18422965,"Willow Creek",6,"0","0","0",1.18422965
"126","Wild Cow Creek",7,"Seine | Seine | Seine | Seine | Seine | 0 | 0 | 0","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facili","Collector(s): Aaron I. Kern, M. H. Tauchen, S. L. Beck, M. P. Larocco | Collector(s): Aaron I. Kern, M. H. Tauchen, S. L. Beck, M. P. Larocco | Collector(s): Aaron I. Kern; S. L. Beck; M. H. Tauchen; M. P. Larocco | Collector(s): Aaron I. Kern, M. H. Tau",332,2.40642179,"Wild Cow Creek",7,"0","0","0",2.40642179
"127","Willow Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",331,18.94113259,"Willow Creek",8,"0","0","0",21.53662468
"128","Steve Forks",7,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",330,1.49695559,"Steve Forks",6,"0","0","0",1.49695559
"129","Tie Creek",8,"Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",329,1.74553524,"Tie Creek",7,"0","0","0",1.74553524
"130","Tensleep Creek",8,"Backpack electrofishing unit | Backpack electrofishing unit | 0","Wyoming Game & Fish Dept","Welker | Welker | 0",328,67.08234968,"Tensleep Creek",8,"0","0","0",67.08234968
"131","Spring Creek",7,"| | | |","Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers","Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter",327,3.67704864,"Spring Creek",6,"0","0","0",3.67704864
"132","South Piney Creek",8,"DC with VVP unit from shore | DC with VVP unit from shore | DC with VVP unit from shore","Wyoming Game & Fish Dept","| |",325,34.80800663,"South Piney Creek",9,"0 | 0","Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | Gelwicks",34.80800663
"133","Salt Creek",7,"Bag Seine | Bag Seine | Bag Seine | Bag Seine","Wyoming Game & Fish Dept","GK PM PB | GK PM PB | GK PM PB | GK PM PB",324,7.06520771,"Salt Creek",7,"0","Wyoming Game & Fish Dept","0",7.06520771
"134","Laramie River",7,"RF | RF | RF | RF","Wyoming Game & Fish Dept","CM MO | CM MO | CM MO | CM MO",323,83.4861456,"Laramie River",6,"Raft - fixed electrodes | 0","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Wyoming Game & Fish Dept","Collector(s): Wyoming Game and Fish Department | 0",83.4861456
"135","Big Creek",8,"DC with VVP unit from shore | DC with VVP unit from shore | DC with VVP unit from shore | DC with VVP unit from shore | DC with VVP unit from shore | DC with VVP unit from shore","Wyoming Game & Fish Dept","MS RC KC | MS RC KC | MS RC KC | MS RC KC | MS RC KC | MS RC KC",322,90.42733702,"Big Creek",8,"0","Wyoming Game & Fish Dept","0",89.90525471
"136","Lodgepole Creek",8,"DN | DN | DN | DN | DN","Wyoming Game & Fish Dept","DM | DM | DM | DM | DM",321,8.7866836,"Lodgepole Creek",7,"Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpack electrofishing unit | Backpa","Wyoming Game & Fish Dept","Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton | Compton",8.7866836
"137","Spring Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",320,11.3613872,"Spring Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",11.69596036
"138","Spring Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",319,11.3613872,"Spring Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",11.3613872
"139","Spring Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",318,11.69596036,"Spring Creek",5,"BP","South Dakota Game, Fish & Parks 2022","0",11.3613872
"140","Spring Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",317,11.80117539,"Spring Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",11.80117539
"141","Rapid Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",316,27.7302496,"Rapid Creek",8,"BP","South Dakota Game, Fish & Parks 2022","0",27.7302496
"142","Rapid Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",315,28.17470884,"Rapid Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",28.17470884
"143","Rapid Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",313,28.6407157,"Rapid Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",29.11113635
"144","Rapid Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",312,29.76932355,"Rapid Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",29.11113635
"145","Rapid Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",311,30.399594,"Rapid Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",30.74821169
"146","Rapid Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",310,30.74821169,"Rapid Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",30.399594
"147","Rapid Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",309,22.30404271,"Rapid Creek",8,"BP","South Dakota Game, Fish & Parks 2022","0",22.30404271
"148","Bear Butte Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",308,0.90769557,"Bear Butte Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",0.90769557
"149","Bear Butte Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",307,0.90769557,"Bear Butte Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",0.90769557
"150","Bear Butte Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",306,1.128129,"Bear Butte Creek",5,"BP","South Dakota Game, Fish & Parks 2022","0",1.4302805
"151","Whitewood Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",305,2.51773405,"Whitewood Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",1.93590225
"152","Whitewood Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",304,2.51773405,"Whitewood Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",2.51773405
"153","Whitewood Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",303,2.51773405,"Whitewood Creek",8,"BP","South Dakota Game, Fish & Parks 2022","0",3.28820961
"154","Whitewood Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",302,3.28820961,"Whitewood Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",3.66419728
"155","Whitewood Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",301,5.13949412,"Whitewood Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",5.13949412
"156","Whitewood Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",300,7.23898486,"Whitewood Creek",5,"BP","South Dakota Game, Fish & Parks 2022","0",7.23898486
"157","Whitewood Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",299,7.23898486,"Whitewood Creek",5,"BP","South Dakota Game, Fish & Parks 2022","0",7.23898486
"158","",5,"BP","South Dakota Game, Fish & Parks 2022","0",298,3.23672815,"",8,"BP","South Dakota Game, Fish & Parks 2022","0",3.23672815
"159","Fall River",6,"BP","South Dakota Game, Fish & Parks 2022","0",297,8.70282868,"Fall River",7,"BP","South Dakota Game, Fish & Parks 2022","0",8.70282868
"160","Fall River",6,"BP","South Dakota Game, Fish & Parks 2022","0",296,9.08961653,"Fall River",7,"BP","South Dakota Game, Fish & Parks 2022","0",9.08961653
"161","Fall River",8,"BP","South Dakota Game, Fish & Parks 2022","0",295,8.10262555,"Fall River",8,"BP","South Dakota Game, Fish & Parks 2022","0",8.10262555
"162","French Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",294,7.69783065,"French Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",7.69783065
"163","French Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",293,7.69783065,"French Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",7.69783065
"164","French Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",292,7.69783065,"French Creek",10,"BP","South Dakota Game, Fish & Parks 2022","0",7.69783065
"165","French Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",291,7.93038588,"French Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",7.93038588
"166","Flynn Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",290,0.68992733,"Flynn Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",0.68992733
"167","Grizzly Bear Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",289,0.70342204,"Grizzly Bear Creek",8,"BP","South Dakota Game, Fish & Parks 2022","0",0.70342204
"168","Grace Coolidge Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",288,1.13661783,"Grace Coolidge Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",1.13661783
"169","",9,"BP","South Dakota Game, Fish & Parks 2022","0",287,0.00352184,"",7,"BP","South Dakota Game, Fish & Parks 2022","0",0.00352184
"170","Redwater Creek",9,"BP","South Dakota Game, Fish & Parks 2022","0",286,30.26997808,"Redwater Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",30.26997808
"171","Battle Creek",7,"BP","South Dakota Game, Fish & Parks 2022","0",285,2.57741487,"Battle Creek",6,"BP","South Dakota Game, Fish & Parks 2022","0",2.57741487
"172","South Piney Creek",8,"0","WGFD(Gelwicks)","Gelwicks",284,15.04101673,"South Piney Creek",8,"0 | 0","Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | Gelwicks",19.88961715
"173","South Platte River",0,"E","Kirk 2020","USGS DGR",283,1484.869312,"South Platte River",0,"E | E | E","Kirk 2020 | Kirk 2020 | Kirk 2020","USGS DGR | USGS DGR | USGS DGR",1484.869312
"174","South Tongue River",9,"RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | RT | 0","Wyoming Game & Fish Dept","Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stewart | Stew",282,45.1258612,"South Tongue River",9,"0","Wyoming Game & Fish Dept","0",45.1258612
"175","Savery Creek",7,"0 | |","Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers","Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter",281,10.35304288,"Savery Creek",10,"0 | 0","Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | Gelwicks",7.46699898
"176","Savery Creek",8,"| | | | | |","Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers","Collector(s): unknown | Collector(s): unknown | Collector(s): unknown | Collector(s): unknown | Collector(s): unknown | Collector(s): unknown | Collector(s): unknown",280,20.46942094,"Savery Creek",7,"0 | 0 | 0","Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | 0 | Gelwicks",20.46942094
"177","Savery Creek",8,"| | | |","Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers","Collector(s): unknown | Collector(s): unknown | Collector(s): unknown | Collector(s): unknown | Collector(s): unknown",279,11.77064156,"Savery Creek",7,"0 | 0 | 0","Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks)","0 | 0 | Gelwicks",12.30758254
"178","Sand Creek",10,"Jon boat-throwing electrode | Jon boat-throwing electrode | Jon boat-throwing electrode | Jon boat-throwing electrode | Jon boat-throwing electrode | Jon boat-throwing electrode | Jon boat-throwing electrode | 0 | Jon boat-throwing electrode | Jon boat-t","Wyoming Game & Fish Dept | Wyoming Game & Fish Dept","Laub | Laub | Laub | Laub | Laub | Laub | Laub | 0 | Laub | Laub | Laub | Laub | Laub | Laub | Laub | 0",278,15.00140743,"Sand Creek",9,"0","Wyoming Game & Fish Dept","0",15.00140743
"179","Ross Fork Creek",6,"Backpack Electrofisher | Backpack Electrofisher | Backpack Electrofisher | Backpack Electrofisher","Montana Fish, Wildlife & Parks","| | |",277,43.16840879,"Ross Fork Creek",8,"Backpack Electrofisher | Backpack Electrofisher | 0","Montana Fish, Wildlife & Parks","Derrick Miller & Clint Smith | Derrick Miller & Clint Smith | Unknown",43.16840879
"180","Shields River",9,"Other | Other | Other | Other","Montana Fish, Wildlife & Parks","| | |",276,150.8141122,"Shields River",5,"| | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Montana Fish, Wildlife & Parks","| | OPITZ,MCCORMACK,SENGER | OPITZ,MCCORMACK,HORTON | OPITZ,MCCORMACK,HORTON | OPITZ,MCCORMACK,HORTON | OPITZ,MCCORMACK,SENGER | OPITZ,MCCORMACK,HORTON",150.8141122
"181","Shields River",3,"Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode","Montana Fish, Wildlife & Parks","Tohtz | Tohtz | Tohtz | Tohtz | Tohtz",275,134.433988,"Shields River",4,"Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode | Crawdad - Mobile (throwable) anode","Montana Fish, Wildlife & Parks","Opitz,McCormack,Senger | Opitz,McCormack,Senger | Opitz,McCormack,Senger",134.433988
"182","Sheep Creek",0,"Seine","University of Wyoming Powder River dataset","Morris et al. 1981",274,4.04843719,"Sheep Creek",0,"Seine","University of Wyoming Powder River dataset","MFWP",4.04843719
"183","Rawhide Creek",0,"E/S","Kirk 2020","Patton 1998",273,11.26710889,"Rawhide Creek",0,"E","Kirk 2020","Gerrity 2009",8.23868275
"184","Powder River",10,"Electrofishing | Electrofishing | Electrofishing | Electrofishing | Electrofishing | Electrofishing | Electrofishing | Electrofishing","Montana Fish, Wildlife & Parks","Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce",272,389.7787894,"Powder River",4,"Trammel net | Trammel net | Trammel net | Trammel net","Wyoming Game & Fish Dept","TL SS. | TL SS. | TL SS. | TL SS.",389.272608
"185","Prairie Dog Creek",6,"Backpack electrofisher and bag seine | Backpack electrofisher and bag seine | Backpack electrofisher and bag seine | Backpack electrofisher and bag seine | Backpack electrofisher and bag seine | Backpack electrofisher and bag seine | Backpack electrofish","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facili","Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Pa",271,14.18262554,"Prairie Dog Creek",0,"E","Kirk 2020","Peterson et al. 2009",14.18262554
"186","Powder River",6,"| | | |","Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility","Long, C A; Kerfoot, C | Long, C A; Kerfoot, C | Long, C A; Kerfoot, C | Long, C A; Kerfoot, C | Long, C A; Kerfoot, C",270,247.4998374,"Powder River",0,"Seine","University of Wyoming Powder River dataset","Stagliano 2014",262.3231085
"187","Powder River",0,"Seine","University of Wyoming Powder River dataset","Stewart 1981",269,381.1995103,"Powder River",0,"Seine","University of Wyoming Powder River dataset","Edwards 2013",381.1995103
"188","Powder River",0,"Seine","University of Wyoming Powder River dataset","Stewart 1981",268,382.4518798,"Powder River",0,"Seine","University of Wyoming Powder River dataset","WGFD",382.4518798
"189","Powder River",0,"Seine","University of Wyoming Powder River dataset","Stewart 1981",267,382.6465824,"Powder River",0,"Seine","University of Wyoming Powder River dataset","WGFD",384.8808048
"190","Powder River",0,"Mixed","University of Wyoming Powder River dataset","Elser et al. 1980",266,395.6607585,"Powder River",0,"Seine","University of Wyoming Powder River dataset","Stagliano 2014",395.1368005
"191","Powder River",0,"Seine","University of Wyoming Powder River dataset","Stewart 1981",265,141.7196493,"Powder River",0,"Seine","University of Wyoming Powder River dataset","WGFD",142.0174548
"192","Powder River",0,"Seine","University of Wyoming Powder River dataset","Stewart 1981",264,157.6676039,"Powder River",0,"Seine","University of Wyoming Powder River dataset","Edwards 2013",161.5693676
"193","Powder River",0,"Seine","University of Wyoming Powder River dataset","Stewart 1981",263,182.4217514,"Powder River",0,"Seine","University of Wyoming Powder River dataset","Edwards 2013",182.6834186
"194","Powder River",0,"Seine","University of Wyoming Powder River dataset","Stewart 1981",262,264.6132705,"Powder River",0,"Seine","University of Wyoming Powder River dataset","Edwards 2013",264.6132705
"195","Redwater Creek",6,"Backpack electrofisher | Backpack electrofisher | Backpack electrofisher","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos)","Collector(s): T. M. Patton | Collector(s): T. M. Patton | Collector(s): T. M. Patton",261,25.81800485,"Redwater Creek",8,"NA | NA | NA | NA","Wyoming Game & Fish Dept","SF | SF | SF | SF",25.81800485
